Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11700,11810,12000,12440,13060,13320,13280,13230,13230,13280,13910,14440,15050,16050,17564,17519,17488,17463,17350,16981,16830,16830,16807,16767,16768,16761,16773,16770,16760,16748.2,16528,16523,,
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.64,19.98,20.32,20.66,21,21.34,21.68,22.02,22.36,22.7,23,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26,26.3,26.6,26.9,27.2,27.5,27.8,28.1,28.4,28.7,29,29,29.6,,
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,,100,90,90,90,90,90,90,90,90,90,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,,4744844.445,4765929.315,4793695.782,4819038.096,4862591.91,4870285.257,4895805.639,5135695.611,5108880.189,4934324.985,4995361.667,4998150,4978970,5003570,4995470,5007420,4915100,4961000,4932380,4956380,4955650,4907720,4837890,4865580,4867910,4685410,4710200,4720520,4671040,4644370,4627820,4660040,4600970,4691430,4633880,4652300,4622330,4638810,4536930,4554690,4557000,4470000,4395000,3949060,4102300,4093020,3983555,3892880,3842570,3763720,3961210,3870760,3717750,3744230,3481190,3426020,3718370,3588950,3624770,3557750,3635190,3635190,3632436.782,,
Austria,AUT,Agricultural land (sq. km),AG.LND.AGRI.K2,,35554,35310,34898,34765,34642,34060,33737,33593,33511,33358,33209,33071,32222,32073,31895,31835,31776,31808,31429,31410,31554,31427,30259,30332,30375,30268,30280,30483,30506,30239,30369,30130,29990,29941,29811,29733,29646,29599,29552,29402,29161,29022,28852.3,28674,28568,28433,28301,28094,27950,27792,27573,27352,27164,27142,27184.5,26701.7,26546.2,26528.3,26512.1,26026.653,26024.884,25974.477,25972.63,,
Azerbaijan,AZE,Agricultural land (sq. km),AG.LND.AGRI.K2,,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44462,44566,44860,44891,45262,45887,46821,46924,47404,47456,47449,47546,47549,47586,47560,47565,47567,47573,47668,47687,47683,47698,47697,47698,47730,47775,47795,47797,47801,47806,47805,47796,,
Burundi,BDI,Agricultural land (sq. km),AG.LND.AGRI.K2,,15750,15900,16040,16050,16240,16210,16660,16760,18970,18800,18990,19060,20000,20300,20600,20950,21430,21200,21000,20880,20750,20600,20600,20600,20600,20820,20870,20920,20870,20820,20770,20820,20770,20730,20370,19930,19520,19130,18870,18670,18510,18340,18330,18480,18190,18220,18250,18280,18310,18330,18410,18600,18870,19140,19410,19680,19950,20220,20490,20760,21030,21265.085,21542.068,,
Belgium,BEL,Agricultural land (sq. km),AG.LND.AGRI.K2,,18110,18160,17720,17610,17580,17550,17580,17520,17630,17630,17560,17480,17630,18010,17910,17810,17680,17760,16890,14710,14600,15310,15280,15240,15160,15100,15010,14960,14660,14430,14230,14710,14830,14920,14950,15010,15100,15180,15210,13896,13868,13891,13922,13913,13830,13800,13669,13653,13636,13557,13357,13320,13365,13313,13280,13508,13270,13540,13560,13646.093,13656.7,13590,13533,,
Benin,BEN,Agricultural land (sq. km),AG.LND.AGRI.K2,,14145.6,14351.5,14557.05,14737.65,14957.65,15257.6,15695.6,16003.6,16850.25,17066.73,17556.25,17867.15,18057.15,18327.15,18728.1,18993.1,19325.56,19537.1,19733,20043,20348,20753,20737.95,20927.95,21258.55,21859.8,21959.8,22061.6,22055.6,22612.96,22683.11,22901.66,23258.38,23870.57,25146.13,27048.35,28898.69,30408.2,31059.96,31918.76,32595.29,33673.39,34709.97,34592.45,34735.52,33393.26,33791.04,35838.92,37403.25,34871.44,36193.65,37651.96,39805.44,39979.02,40732.23,38767.45,40933.799,44608.086,46312.094,44330.486,46234.245,48557.123,47167.523,,
Burkina Faso,BFA,Agricultural land (sq. km),AG.LND.AGRI.K2,,90150,90150,90150,90200,90200,90200,90200,90200,90200,90200,90200,90200,90200,90200,90300,90350,90350,90350,90350,90400,90450,90450,90500,91808.305,93066.61,94374.914,95683.219,96991.524,98249.829,99508.133,100766.438,102024.743,103283.048,104541.353,105799.657,107057.962,108316.267,109574.572,110832.877,112111.181,113409.486,114687.791,115966.096,117394.4,118812.705,120191.01,121499.315,122882.62,124315.924,125914.229,127932.534,129490.839,131649.143,133207.448,134865.753,136324.058,137782.363,140072.668,141387.972,142708.277,144107.582,145964.887,146107.887,,
Bangladesh,BGD,Agricultural land (sq. km),AG.LND.AGRI.K2,,94800,94770,94800,95200,96370,96500,96950,96690,96750,96970,96950,99910,99890,99890,100040,99980,99910,99870,99830,99870,99810,99780,99640,100600,100270,100410,101150,104270,104430,103860,103200,95490,94460,93580,93740,93270,93650,94340,94860,94000,94030,93530,93280,93230,93110,92800,92660,92530,92460,92410,91280,91200,91080,90990,91622.4,91942.1,91873.3,92023,93970,94300,94180,94270,93990,,
Bulgaria,BGR,Agricultural land (sq. km),AG.LND.AGRI.K2,,56730,56850,56930,57720,57930,58020,58630,58810,60220,60100,60090,60220,59820,60380,59550,61980,62060,62110,62060,61810,61790,61820,61770,61720,61690,61660,61660,61620,61680,61590,61610,61540,61210,61590,61640,61640,62030,56450,56790,55820,54980,53250,53260,53300,52650,51900,51160,51010,50300,50520,50880,51230,49950,49770,50119,50210,50295.2,50300,50370,50470,50470,50220,50029.9,,
Bahrain,BHR,Agricultural land (sq. km),AG.LND.AGRI.K2,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,97.9,96.9,95.8,94.8,93.7,92.7,91.6,90.6,89.5,88.5,87.4,86.4,85.3,84.3,83.2,82.2,81.1,81,81,81,81,81,81,,
"Bahamas, The",BHS,Agricultural land (sq. km),AG.LND.AGRI.K2,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,110,120,130,130,130,130,130,130,130,130,130,130,130,130,130,,
Bosnia and Herzegovina,BIH,Agricultural land (sq. km),AG.LND.AGRI.K2,,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,21900,21800,21750,21700,21650,21600,21050,21300,21260,21230,21690,21694,21570,21590,21490,21300,21280,21440,21510,21560,21610,21570,21760,22090,22280,22110,22160,22420,22630,11170,11130,,
Belarus,BLR,Agricultural land (sq. km),AG.LND.AGRI.K2,,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93910,93540,93460,93390,93330,93060,93070,92810,92520,91280,90250,89860,89570,89490,89580,89160,89170,89270,88980,88750,87960,87112,86239,85742,85327,84940,84530,83870,82810,81740,80940,80340,,
Belize,BLZ,Agricultural land (sq. km),AG.LND.AGRI.K2,,790,790,800,800,800,810,810,810,820,820,830,830,840,840,850,850,860,930,940,960,970,970,970,970,1010,1030,1120,1150,1200,1260,1300,1360,1430,1430,1460,1470,1480,1480,1500,1490,1490,1520,1520,1520,1520,1520,1520,1520,1550,1570,1570,1600,1600,1600,1700,1700,1720,1720,1740,1800,1820,1820,1820,,
Bermuda,BMU,Agricultural land (sq. km),AG.LND.AGRI.K2,,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Bolivia,BOL,Agricultural land (sq. km),AG.LND.AGRI.K2,,300420,299420,298070,298780,299150,299510,299880,300240,302610,302970,307340,312700,313080,318430,323800,324160,329530,329890,335250,335620,340990,341360,341730,347170,346870,352030,352270,352500,354700,354550,357960,358310,362130,363510,366000,366840,368740,369820,370690,371430,371560,373110,366470,366170,369620,371417.778,372825.556,374113.333,375401.111,376688.889,378036.667,379434.444,380842.222,382220,382210,380830,379400,382005.49,385052.649,385271.214,386551.642,388153.989,388153.989,,
Brazil,BRA,Agricultural land (sq. km),AG.LND.AGRI.K2,,1569590,1606660,1643730,1680800,1717870,1754940,1792010,1829080,1866150,1903280,1938340,1973400,2008460,2043520,2078590,2127800,2177010,2226220,2275430,2325172.08,2344138,2363106,2382074,2401042,2419987.07,2405792,2391594,2377396,2363198,2349000,2334802,2320604,2306406,2292208,2278050,2279087,2280124,2281161,2282198,2283235,2284272,2285309,2286346,2287383,2288420,2289510,2296718,2303926,2311134,2318342,2325550,2332758,2339966,2347174,2354380,2361590,2368790,2368548,2368308,2368068,2367828,2367588,2367588,,
Barbados,BRB,Agricultural land (sq. km),AG.LND.AGRI.K2,,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,180,180,180,170,170,160,160,160,160,160,160,150,140,130,125,120,110,100,100,100,100,100,100,100,100,,
Brunei Darussalam,BRN,Agricultural land (sq. km),AG.LND.AGRI.K2,,210,210,210,240,240,230,230,240,240,240,190,180,180,180,180,170,150,150,150,150,150,140,140,130,130,130,130,130,130,130,130,130,130,130,120,120,120,120,120,120,130,130,130,130,130,123,124,124,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,,
Bhutan,BTN,Agricultural land (sq. km),AG.LND.AGRI.K2,,3610,3630,3630,3650,3660,3680,3680,3700,3700,3820,3820,3850,3850,3920,3920,3980,4000,4000,4050,4130,4130,4180,4300,4440,4440,4440,4650,4600,4520,4540,5040,5040,5050,5090,5650,5700,5720,5720,5720,5780,5790,5800,5830,5840,5930,5770,5630,5213,5200,5200,5196,5196,5196,5256,5256,5190,5130,5130,5130,5165,5200,5235,5270,,
Botswana,BWA,Agricultural land (sq. km),AG.LND.AGRI.K2,,260000,260000,260000,260000,260010,260010,260010,260010,260010,260010,260010,260020,260020,260020,260020,260020,260020,260020,260040,260040,260040,260060,260060,260060,260080,260080,260100,260100,260150,260210,259010,258510,259510,259960,259460,259460,259010,258310,258410,259510,258010,258460,257960,258270,258150,258030,257840,258810,259180,258610,259260,258870,258820,260040,258616,258616,258616,258616,258620,258620,258620,258620,258620,,
Central African Republic,CAF,Agricultural land (sq. km),AG.LND.AGRI.K2,,47380,47480,47560,47700,47800,47900,48000,48100,48200,48300,48400,48500,48600,48700,49030.7,49142,49255,49367.1,49493.56,49611.97,49450,49626.5,49446.8,49498,49491.91,49532.24,49575.45,49583.74,49652.52,49554.81,50056,49795,49823,49775,49680,49735,49739,49690,49684,49714,49706,49715,49573,49540,49519,49468,49506,49514,49453,49196,48892,48918,48975,49077,49175,49170,49178,51720,54940,55873,56101,56331,56688,,
Canada,CAN,Agricultural land (sq. km),AG.LND.AGRI.K2,,618430,622800,627170,631540,635910,637010,635660,634310,632960,631610,630230,630500,630770,631040,631310,631589.9,627850,624100,620350,616600,612900,612120,611340,610560,609780,608988.92,610250,611510,612770,614030,615332.464,614650,613970,613290,612610,611920,612150,612390,612630,612870,613081.608,620910,619460,618010,616560,605840,600080,594320,588560,582800,576997,577710,578420,579130,579850,580500,578676,578892,576878,571174,569910,570770,568750,,
Central Europe and the Baltics,CEB,Agricultural land (sq. km),AG.LND.AGRI.K2,,646680,646360,645740,646120,644720,645000,644230,645220,644240,643470,642960,641710,640360,639950,638840,640980,640430,639740,638610,637680,636270,636070,635970,636460,636310,635950,636280,635770,632060,631840,631610,628120,624860,621440,615910,610780,610260,605100,604520,591050,575370,556442.6,547221.2,539010.9,539333.9,537651.5,526982,529461.7,529073.9,519523.8,521343.5,517581.8,518923.1,518221.4,519245.9,516233.8,515348.6,516300,521123.39,511648.336,510369.456,502574.55,506696.5,,
Switzerland,CHE,Agricultural land (sq. km),AG.LND.AGRI.K2,,17363,17334,17192,17104,17016,16957,16888,16861,16874,16739,16654,16628,16537,16475,16438,16426,16414,16449,16587.287,16533.566,16489.882,16441.394,16393.05,16344.562,16290.524,16248.017,16199.958,16152.041,16104.266,16050.303,16009.14,15961.788,15914.576,15867.503,15820.57,15783.105,15752.201,15721.444,15688.881,15658.165,15627.446,15597.256,15566.689,15535.559,15504.631,15474.187,15443.686,15410.273,15376.983,15344.107,15311.226,15278.375,15245.633,15212.778,15180.055,15147.463,15116.338,15085.727,15055.158,15024.369,14993.783,14962.808,14932.228,,
Channel Islands,CHI,Agricultural land (sq. km),AG.LND.AGRI.K2,,90,90,90,90,90,90,90,90,89,89,89,89,88,88,88,88,88,87,87,87,87,87,86,86,86,86,86,85,85,85,85,85,84,84,84,84,81,80,79,79,75,74,74,75,76,84,82,81,88,91.1,96.1,95.6,94.6,95.2,92.6,92.9,92.2,85.7,85.7,85.7,85.7,,,,
Chile,CHL,Agricultural land (sq. km),AG.LND.AGRI.K2,,133860,135560,137260,138980,140690,142380,144580,146780,148480,151000,153500,156000,158380,162500,165500,172000,171000,170000,169000,168500,167500,166000,165500,165000,164720,164360,161630,161540,161690,158990,157890,155560,154770,154500,153300,152320,152220,152190,150600,151100,151500,155650,154250,159350,158850,158000,157320,154179.746,151039.502,147184.238,144178.985,140373.731,137168.487,133505.233,130277.969,126380.725,123037.471,118885.217,114658.641,110701.443,108179.961,106372.991,106975.37,,
China,CHN,Agricultural land (sq. km),AG.LND.AGRI.K2,,3423500,3451000,3479500,3508000,3546000,3582000,3618000,3654000,3700000,3746000,3792500,3838700,3894800,3961000,4007100,4066033.333,4124966.667,4184700,4230375,4276040,4329090,4425180,4529280,4645370,4763470,4824560,4877660,4933750,4994850,5056940,5113790,5143140,5182230,5228330,5228330,5228720,5228722.5,5228725,5228727.5,5228730,5234668.444,5240606.889,5246545.333,5252483.778,5258422.222,5264360.667,5270299.111,5276237.556,5282176,5274623,5267130,5259607,5252084,5244561,5237038,5229520,5221990,5214470,5206950,5206010,5205070,5204130,5204130,,
Cote d'Ivoire,CIV,Agricultural land (sq. km),AG.LND.AGRI.K2,,157339.68,158557.22,159149.3,159986.11,160566.44,161093.52,161648.48,161974.95,162245.03,162516.71,163100.86,163100,165082.09,166654.01,168013.74,168996.37,171350.17,172533.64,172902.43,173207.98,174576.96,175883.89,175840,179010,182105.14,183175.02,184174.1,188124.38,185294.19,190572.96,186302.41,186448.05,195020,190060.5,197478.5,197345.09,194960.08,195894.95,196803.62,197556.14,192657.66,193852.62,194250.01,201623.47,204046.57,206815.76,210072.71,209229.73,208920.04,209039.87,210516.57,219305.07,225420.28,230841.67,244659.062,239856.704,247100.249,258667.795,259248.864,262750.117,268369.318,267618.664,274993.096,,
Cameroon,CMR,Agricultural land (sq. km),AG.LND.AGRI.K2,,75100,75700,76200,76800,77400,78000,78700,79200,79700,79780,80280,80950,81600,82800,83950,85100,86440,86710,89120,89300,89600,90100,90600,91100,91600,92300,92100,92100,91900,91700,91500,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600,92100,92130,92130,92130,92630,93130,97000,97500,97500,97500,97500,97500,97500,97709.857,97919.714,98129.571,98339.429,98549.286,98759.143,98969,,
"Congo, Dem. Rep.",COD,Agricultural land (sq. km),AG.LND.AGRI.K2,,250500,250700,251000,251300,251500,251700,252000,252500,253000,253500,254000,254500,255000,255500,255500,256000,256300,256500,256500,257000,257500,257700,258000,258500,259000,259500,259500,259500,259500,259600,259800,260000,260000,260000,258000,258000,257000,257000,256000,256000,255500,255500,255500,255500,255500,255860,256500,257000,268870,284290,296360,308860,314300,322490,324500,326720,332897,336148,338369,338775,338811.833,346940.85,350956.638,,
"Congo, Rep.",COG,Agricultural land (sq. km),AG.LND.AGRI.K2,,105478,105483.5,105504.5,105455.5,105433.5,105430,105431,105432,105458,105474.5,105501,105509.44,105547.83,105561.25,105581.39,105629.27,105619.44,105179.84,105183.5,105219.25,105259.5,105511,105554.5,105577,105638.5,105619.89,105357.32,105380.85,105398.52,105173.37,105199.55,105195.64,105247.96,105138.69,105176.87,105219.98,105350.13,105355.77,105436.65,105399.42,105403.94,105398.29,105401.63,105432.81,105456.54,105487.71,105494.21,105499.76,105632.15,105754.04,105966.15,106020.08,106308.04,106314.16,106234.31,106254.57,106266.18,106314.97,106578,106427,106726,106513,106514,,
Colombia,COL,Agricultural land (sq. km),AG.LND.AGRI.K2,,399700,409720,414930,419950,430080,430200,430230,430250,430300,430300,450540,450680,450840,450990,451150,451300,453150,452610,452770,452920,453080,453230,453390,453560,453750,453950,454010,452830,451830,450830,448840,449830,449030,448650,445130,449200,450820,455430,456680,448590,417450,416070,420510,423910,425570,421740,424360,426140,425400,425030,417210,426176,448156,448000,447844,447688,434870,440480,443540,442099.446,430143.333,417630,404830,,
Comoros,COM,Agricultural land (sq. km),AG.LND.AGRI.K2,,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,1000,1000,1000,1000,1000,1000,1100,1100,1100,1130,1140,1140,1140,1150,1150,1180,1200,1220,1240,1260,1260,1270,1280,1300,1310,1320,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,,
Cabo Verde,CPV,Agricultural land (sq. km),AG.LND.AGRI.K2,,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,670,670,680,680,690,690,690,700,700,720,720,720,720,740,750,750,760,760,760,760,780,780,780,790,790,790,790,790,790,790,790,790,790,790,790,790,,
Costa Rica,CRI,Agricultural land (sq. km),AG.LND.AGRI.K2,,13950,14100,14200,14850,15550,16350,16360,17160,17900,18560,18870,18870,20480,20480,21220,22050,22870,23600,24430,25160,25990,26790,26820,27480,26810,26120,25390,24630,23780,21986,22036.18,21600,21130,20950,20480,19950,19530,19150,18880,18400,18330,18260,18290,18220,18050,18150,18000,17930,18160,18190,18190,18120,18010,17850,17591.889,17427.328,17262.767,17217.253,17171.74,17126.226,17024.776,16923.326,16923.326,,
Caribbean small states,CSS,Agricultural land (sq. km),AG.LND.AGRI.K2,,17010,17020,17050,17100,17110,17150,17150,17170,17200,17230,17330,17340,17480,17499,17490,14316.506,13850.256,13414.006,12949.756,12436.506,11923.256,11349.006,10714.756,10757.756,10790.756,10854.756,10959.356,10985.756,11052.156,11157.556,11222.956,11278.356,11344.756,11309.156,11270.556,11270.956,11213.356,11144.756,11200.156,11209.756,11154.756,11039.067,11091.378,10991.989,10877,10869.1,10840.2,10848.4,10998.4,11019.4,11039.4,10971.4,11066.4,11111.4,11189.4,11179.4,11169.4,11169.4,11189.4,11209.4,11219.4,11159.4,11153.72,,
Cuba,CUB,Agricultural land (sq. km),AG.LND.AGRI.K2,,35500,38050,40380,47550,45480,45100,46210,47270,47450,50220,50730,55810,58510,56310,58100,59970,60380,59480,58620,59370,59380,60830,61790,61420,62220,64510,67260,67880,67720,67410,67550,67750,67300,66860,66840,66150,66870,66740,66600,65540,66560,66540,66380,65280,66370,66300,66200,65670,65138,64612,64078,64056,63423,62788.8,62403,62267,63000,63000,64010,64010,64010,64010,64010,,
Curacao,CUW,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
